,month,hotel,adr
0,January,Resort hotel,48.70891862955032
1,February,Resort hotel,54.14747833622184
2,March,Resort hotel,57.01248736883016
3,April,Resort hotel,75.86781568627451
4,May,Resort hotel,76.65755818540434
5,June,Resort hotel,107.92186947988223
6,July,Resort hotel,150.1225278928913
7,August,Resort hotel,181.20589192508442
8,September,Resort hotel,96.41686013320647
9,October,Resort hotel,61.72750485060148
10,November,Resort hotel,48.681639676113356
11,December,Resort hotel,68.32223599405057
12,January,City hotel,82.16063442768412
13,February,City hotel,86.18302545691905
14,March,City hotel,90.17072200392927
15,April,City hotel,111.85682440846826
16,May,City hotel,120.44584188687486
17,June,City hotel,117.70207512597344
18,July,City hotel,115.56381012128817
19,August,City hotel,118.4120832559004
20,September,City hotel,112.59845221445221
21,October,City hotel,101.74595572976712
22,November,City hotel,86.50045623145401
23,December,City hotel,87.85676421404682
