,Unnamed: 0,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,canceled_rate,total_stay,IsCanceled
13,13,Resort Hotel,0,18,2015,July,27,1,0,4,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,241.0,0.0,0,Transient,154.77,0,1,Check-Out,2015-07-05,0.22017879180086086,4,0
36,36,Resort Hotel,0,15,2015,July,27,2,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,98.0,0,0,Check-Out,2015-07-06,0.47719612611459533,4,0
42,42,Resort Hotel,0,16,2015,July,27,2,2,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,0.0,0.0,0,Transient,123.0,0,0,Check-Out,2015-07-07,0.47719612611459533,5,0
46,46,Resort Hotel,0,96,2015,July,27,2,2,5,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,134.0,0.0,0,Transient,58.95,0,1,Check-Out,2015-07-09,0.22017879180086086,7,0
53,53,Resort Hotel,0,3,2015,July,27,2,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,88.2,1,0,Check-Out,2015-07-03,0.47719612611459533,1,0
55,55,Resort Hotel,0,1,2015,July,27,2,0,1,2,2.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,0.0,0.0,0,Transient,107.0,1,2,Check-Out,2015-07-03,0.2209284392350401,1,0
62,62,Resort Hotel,0,17,2015,July,27,2,0,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,133.0,0,1,Check-Out,2015-07-05,0.22017879180086086,3,0
66,66,Resort Hotel,0,3,2015,July,27,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,110.5,0,0,Check-Out,2015-07-05,0.47719612611459533,2,0
73,73,Resort Hotel,0,15,2015,July,27,3,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,114.5,0,0,Check-Out,2015-07-05,0.47719612611459533,2,0
75,75,Resort Hotel,0,3,2015,July,27,3,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,90.9,1,0,Check-Out,2015-07-06,0.47719612611459533,3,0
90,90,Resort Hotel,0,1,2015,July,27,3,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,131.0,0,1,Check-Out,2015-07-04,0.22017879180086086,1,0
97,97,Resort Hotel,0,63,2015,July,27,3,2,5,3,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,105.0,0.0,0,Transient,196.54,0,1,Check-Out,2015-07-10,0.22017879180086086,7,0
100,100,Resort Hotel,0,4,2015,July,27,4,2,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,92.67,0,1,Check-Out,2015-07-07,0.22017879180086086,3,0
126,126,Resort Hotel,0,8,2015,July,27,4,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,123.0,0,0,Check-Out,2015-07-05,0.47719612611459533,1,0
131,131,Resort Hotel,0,9,2015,July,28,5,1,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,88.2,0,1,Check-Out,2015-07-06,0.22017879180086086,1,0
133,133,Resort Hotel,0,0,2015,July,28,5,1,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,306.0,0.0,0,Transient,85.1,0,0,Check-Out,2015-07-06,0.47719612611459533,1,0
142,142,Resort Hotel,0,97,2015,July,28,5,2,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,87.3,0,2,Check-Out,2015-07-09,0.2209284392350401,4,0
144,144,Resort Hotel,0,30,2015,July,28,5,2,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,123.0,0,0,Check-Out,2015-07-10,0.47719612611459533,5,0
146,146,Resort Hotel,0,39,2015,July,28,5,2,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,163.0,0,0,Check-Out,2015-07-11,0.47719612611459533,6,0
153,153,Resort Hotel,0,27,2015,July,28,5,2,5,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,175.0,0.0,0,Transient,98.4,0,0,Check-Out,2015-07-12,0.47719612611459533,7,0
178,178,Resort Hotel,0,98,2015,July,28,6,1,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,117.8,1,1,Check-Out,2015-07-12,0.22017879180086086,6,0
